area,perimeter,inertia11,inertia12,inertia21,inertia22,x,y,density_around,area_around,N,NW,img
14.0,13.65685424949238,2.1683673469387754,-2.2755102040816326,-2.2755102040816326,3.6326530612244903,576.7857142857143,24.285714285714285,19.0,0.0576,150.0,33.0,0.0
11.0,10.65685424949238,1.1404958677685952,0.32231404958677684,0.32231404958677684,0.7768595041322315,115.36363636363636,23.636363636363637,12.0,0.0328,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,346.0,22.0,17.0,0.0456,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,432.5,22.0,8.0,0.0644,150.0,33.0,0.0
26.0,19.071067811865476,3.0902366863905324,2.1479289940828403,2.1479289940828403,3.14792899408284,629.5769230769231,25.923076923076923,22.0,0.0468,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,143.5,23.5,14.0,0.0472,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,347.5,24.0,17.0,0.0324,150.0,33.0,0.0
27.0,20.27817459305202,5.358024691358025,1.1440329218106997,1.1440329218106997,1.327846364883402,562.4444444444445,26.074074074074073,17.0,0.0488,150.0,33.0,0.0
8.0,7.82842712474619,0.5,-0.25,-0.25,0.9375,605.0,25.25,15.0,0.0536,150.0,33.0,0.0
10.0,8.449747468305834,0.8400000000000001,-0.42000000000000004,-0.42000000000000004,0.9600000000000002,639.4,25.2,21.0,0.0544,150.0,33.0,0.0
25.0,17.485281374238568,2.3615999999999997,-0.08319999999999995,-0.08319999999999995,1.9264000000000001,25.72,27.44,16.0,0.054,150.0,33.0,0.0
7.0,7.207106781186548,1.0612244897959184,0.12244897959183675,0.12244897959183675,0.2448979591836735,165.71428571428572,25.571428571428573,15.0,0.0388,150.0,33.0,0.0
8.0,8.0,1.25,0.5,0.5,0.5,266.5,26.0,16.0,0.078,150.0,33.0,0.0
14.0,10.82842712474619,1.0612244897959184,-0.0,-0.0,1.1071428571428572,396.7142857142857,26.5,14.0,0.05,150.0,33.0,0.0
4.0,2.0,1.25,-0.0,-0.0,0.0,408.5,25.0,14.0,0.0564,150.0,33.0,0.0
14.0,12.828427124746192,2.6581632653061225,-1.4693877551020407,-1.4693877551020407,1.346938775510204,440.64285714285717,26.714285714285715,10.0,0.0484,150.0,33.0,0.0
15.0,13.449747468305834,1.7155555555555557,-0.8177777777777778,-0.8177777777777778,1.3155555555555556,515.8666666666667,27.133333333333333,17.0,0.0416,150.0,33.0,0.0
7.0,6.207106781186548,0.6938775510204082,0.18367346938775508,0.18367346938775508,0.48979591836734687,75.85714285714286,26.714285714285715,17.0,0.048,150.0,33.0,0.0
15.0,12.621320343559642,1.4933333333333332,0.48000000000000004,0.48000000000000004,1.1733333333333333,281.2,27.4,11.0,0.0864,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,289.0,26.0,17.0,0.0752,150.0,33.0,0.0
7.0,7.656854249492381,0.4897959183673469,-0.30612244897959184,-0.30612244897959184,0.8163265306122449,388.7142857142857,27.571428571428573,13.0,0.0428,150.0,33.0,0.0
9.0,8.242640687119284,0.8888888888888888,0.14814814814814814,0.14814814814814814,0.54320987654321,120.66666666666667,27.88888888888889,13.0,0.04,150.0,33.0,0.0
12.0,10.242640687119284,1.0555555555555556,0.5277777777777778,0.5277777777777778,1.0555555555555558,258.3333333333333,28.333333333333332,18.0,0.076,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,276.0,27.5,18.0,0.0596,150.0,33.0,0.0
5.0,5.621320343559642,0.56,0.2,0.2,0.4,366.8,28.0,16.0,0.0624,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,157.0,28.0,17.0,0.0232,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,502.0,28.0,15.0,0.0304,150.0,33.0,0.0
19.0,16.449747468305834,4.725761772853185,0.8836565096952907,0.8836565096952907,0.7257617728531855,55.10526315789474,30.894736842105264,16.0,0.0472,150.0,33.0,0.0
9.0,7.621320343559642,1.1358024691358024,-0.3950617283950617,-0.3950617283950617,0.54320987654321,96.55555555555556,29.88888888888889,13.0,0.0496,150.0,33.0,0.0
9.0,7.621320343559642,1.5802469135802468,-0.1234567901234568,-0.1234567901234568,0.3950617283950618,310.55555555555554,29.77777777777778,13.0,0.0516,150.0,33.0,0.0
5.0,5.207106781186548,0.24000000000000005,0.12,0.12,0.56,567.6,30.2,15.0,0.062,150.0,33.0,0.0
4.0,2.414213562373095,0.25,-0.5,-0.5,1.25,638.5,30.5,17.0,0.0436,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,159.0,30.0,13.0,0.0288,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,267.6666666666667,30.666666666666668,21.0,0.0876,150.0,33.0,0.0
8.0,8.65685424949238,0.984375,-0.5625,-0.5625,0.75,431.375,31.5,10.0,0.0236,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,522.6666666666666,30.666666666666668,18.0,0.0448,150.0,33.0,0.0
6.0,6.414213562373095,0.9166666666666666,-0.25,-0.25,0.25,588.5,30.5,17.0,0.0596,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,620.0,30.0,22.0,0.0344,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,66.66666666666667,31.666666666666668,14.0,0.044,150.0,33.0,0.0
10.0,8.82842712474619,0.6,-0.3,-0.3,1.05,148.0,32.5,12.0,0.0416,150.0,33.0,0.0
23.0,18.242640687119284,1.8676748582230625,-0.8809073724007561,-0.8809073724007561,3.0623818525519853,283.04347826086956,34.73913043478261,19.0,0.0736,150.0,33.0,0.0
9.0,9.207106781186548,1.7283950617283952,0.1234567901234568,0.1234567901234568,0.2469135802469136,464.77777777777777,32.44444444444444,12.0,0.0304,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,540.6666666666666,32.333333333333336,20.0,0.058,150.0,33.0,0.0
25.0,20.242640687119284,2.1376,-1.8367999999999998,-1.8367999999999998,4.1024,558.32,34.76,17.0,0.0772,150.0,33.0,0.0
14.0,11.82842712474619,0.8367346938775511,-0.15306122448979592,-0.15306122448979592,1.6377551020408159,606.1428571428571,33.92857142857143,13.0,0.0604,150.0,33.0,0.0
21.0,15.035533905932738,2.380952380952381,1.1904761904761905,1.1904761904761905,2.4263038548752833,343.0,35.61904761904762,20.0,0.066,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,393.5,33.5,14.0,0.0676,150.0,33.0,0.0
2.0,0.0,0.25,-0.25,-0.25,0.25,87.5,34.5,12.0,0.0436,150.0,33.0,0.0
7.0,7.207106781186548,1.0612244897959184,0.12244897959183673,0.12244897959183673,0.24489795918367344,372.2857142857143,34.42857142857143,21.0,0.034,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,516.0,34.0,17.0,0.0472,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,537.5,34.5,18.0,0.0516,150.0,33.0,0.0
12.0,10.035533905932738,1.1666666666666667,0.9166666666666666,0.9166666666666666,1.576388888888889,108.0,37.416666666666664,15.0,0.0484,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,359.3333333333333,35.666666666666664,19.0,0.04,150.0,33.0,0.0
6.0,6.242640687119286,0.47222222222222215,0.1388888888888889,0.1388888888888889,0.47222222222222215,397.8333333333333,36.166666666666664,10.0,0.048,150.0,33.0,0.0
33.0,25.14213562373095,2.359963269054178,1.258953168044077,1.258953168044077,6.743801652892563,43.93939393939394,40.72727272727273,16.0,0.0712,150.0,33.0,0.0
6.0,6.0,0.6666666666666666,-0.0,-0.0,0.25,252.0,37.5,23.0,0.0788,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,267.0,37.0,19.0,0.0768,150.0,33.0,0.0
23.0,16.86396103067893,2.5860113421550093,-0.550094517958412,-0.550094517958412,1.931947069943289,336.39130434782606,40.26086956521739,12.0,0.046,150.0,33.0,0.0
9.0,9.82842712474619,2.4691358024691357,1.2839506172839508,1.2839506172839508,0.9876543209876544,430.44444444444446,39.888888888888886,13.0,0.0496,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,476.6666666666667,38.666666666666664,16.0,0.0292,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,528.0,38.5,18.0,0.0624,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,610.5,38.0,14.0,0.0344,150.0,33.0,0.0
7.0,6.207106781186548,0.489795918367347,-0.1836734693877551,-0.1836734693877551,0.6938775510204082,144.28571428571428,39.857142857142854,14.0,0.0392,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,224.66666666666666,39.333333333333336,15.0,0.0628,150.0,33.0,0.0
6.0,5.414213562373095,0.5555555555555557,-0.2777777777777778,-0.2777777777777778,0.5555555555555557,273.6666666666667,40.333333333333336,13.0,0.0816,150.0,33.0,0.0
6.0,6.207106781186548,0.47222222222222215,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,220.83333333333334,41.0,8.0,0.0368,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,503.5,40.0,14.0,0.0296,150.0,33.0,0.0
25.0,18.035533905932738,2.0864,-0.42719999999999997,-0.42719999999999997,2.3456,511.56,42.88,16.0,0.066,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,19.5,41.0,20.0,0.0612,150.0,33.0,0.0
6.0,5.207106781186548,0.9166666666666666,-0.5,-0.5,0.5555555555555555,99.5,42.333333333333336,14.0,0.046,150.0,33.0,0.0
